ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts
10.124.2.223,2,2,2.0,0.6666666666666666,3.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
102.102.124.56,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
103.102.221.226,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
103.216.160.242,2,2,2.0,1.0,2.0,2,10,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
103.28.132.72,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.129.192.119,4,2,2.0,0.0006442261233693026,2069.6666666666665,1,0,0,0.0,1.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0
104.156.210.196,1,1,1.0,1.0,0.0,1,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.24.147,5,5,5.0,0.09803921568627451,12.75,5,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.24.33,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.24.36,34,34,34.0,0.40476190476190477,2.5454545454545454,34,31,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.24.54,2,1,1.0,0.012987012987012988,154.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.25.125,2,2,2.0,0.25,8.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.25.155,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.194.25.207,3,3,3.0,0.375,4.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.237.139.121,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.237.226.173,3,2,1.5,0.0011815675462780622,1269.5,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.244.77.52,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.248.138.192,15,15,15.0,0.4838709677419355,2.2142857142857144,14,26,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
104.248.138.214,5,2,1.25,0.004897159647404506,255.25,5,15,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
104.248.138.218,11,11,11.0,0.16923076923076924,6.5,9,9,0,0.0,0.0,0.0,1.0,0.0,3,0,0,0.0,0.0,0.0
104.248.16.204,1,1,1.0,1.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
104.248.18.164,2,1,1.0,0.011299435028248588,177.0,2,6,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
104.248.18.220,24,12,12.0,0.013194062671797692,79.08695652173913,7,13,16,0.6666666666666666,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0
104.248.21.70,12,12,12.0,2.4,0.45454545454545453,7,13,8,0.6666666666666666,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
104.248.82.241,3,3,3.0,0.07894736842105263,19.0,2,6,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0
104.248.92.0,25,25,25.0,1.0,1.0416666666666667,25,35,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
104.249.46.34,2,2,2.0,2.0,1.0,2,12,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
