ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw,dbscan_label,ae_prediction,ae_reconstruction_error,iso_anomaly_score,dbscan_anomaly_score,ae_anomaly_score,risk_score,risk_level
10.124.2.223,2,2,2.0,0.6666666666666666,3.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2705198353677764,0,1,0.0013909333747136,0,0,0,0.0,Low
102.102.124.56,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2468344758987808,0,1,0.0160075763498119,0,0,0,0.0,Low
103.102.221.226,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2435186550227225,0,1,0.0157793819423944,0,0,0,0.0,Low
103.216.160.242,2,2,2.0,1.0,2.0,2,10,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2672483661426283,0,1,0.0023570502397038,0,0,0,0.0,Low
103.28.132.72,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
104.129.192.119,4,2,2.0,0.0006442261233693,2069.6666666666665,1,0,0,0.0,1.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,1,0.1035701690981173,0,1,0.2262292529601001,0,0,0,0.0,Low
104.156.210.196,1,1,1.0,1.0,0.0,1,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2757846831061332,0,1,0.0022189005434929,0,0,0,0.0,Low
104.194.24.147,5,5,5.0,0.0980392156862745,12.75,5,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2640775709522294,0,1,0.0027917678774119,0,0,0,0.0,Low
104.194.24.33,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.0021274561347543,0,0,0,0.0,Low
104.194.24.36,34,34,34.0,0.4047619047619047,2.5454545454545454,34,31,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2091876555955972,0,1,0.018473266657543,0,0,0,0.0,Low
